,DATA,TIPO,AREA,EMPRESA,LINHA,"PASSAGEIROS PAGANTES EM DINHEIRO

(A)","PASSAGEIROS PAGANTES BILHETE ÚNICO COMUM

(B)","PASSAGEIROS PAGANTES BILHETE ÚNICO COMUM MENSAL

(C)","PASSAGEIROS PAGANTES BILHETE ÚNICO ESTUDANTE

(D) ","PASSAGEIROS PAGANTES BILHETE ÚNICO ESTUDANTE MENSAL

(E) ","PASSAGEIROS PAGANTES BILHETE ÚNICO VALE TRANSPORTE

(F)","PASSAGEIROS PAGANTES BILHETE ÚNICO VALE TRANSPORTE MENSAL

(G)","PASSAGEIROS PAGANTES INTEGRAÇÕES METRÔ E CPTM

(H)","PASSAGEIROS PAGANTES INTEGRAÇÕES METRÔ E CPTM MENSAL

(I)","PASSAGEIROS PAGANTES

(J) = (A+B+C+D+E+F+G+H+I)","PASSAGEIROS INTEGRAÇÕES ÔNIBUS -> ÔNIBUS

(K)","PASSAGEIROS COM GRATUIDADE

(L)","PASSAGEIROS COM GRATUIDADE ESTUDANTE

(M)","TOTAL PASSAGEIROS TRANSPORTADOS

(N) = (J + K + L + M)"
306,2015-12-31,CONCESSAO,AREA 3,VIP II,421010 - T CID TIRADENTES/T PQ D PEDRO,756,1370,127,26,1,947,58,27,18,3332,2323,712,126,6493
307,2015-12-31,CONCESSAO,AREA 3,VIP II,431010 - E.T.ITAQUERA/TERM PQ D PEDRO  ,405,1942,514,44,5,1337,97,192,44,4592,7048,982,151,12773
308,2015-12-31,CONCESSAO,AREA 3,VIP II,431110 - TER SAO MATEUS/T PQ D PEDRO II,457,777,125,27,4,650,43,183,21,2294,1426,317,54,4091
309,2015-12-31,CONCESSAO,AREA 3,VIP II,431210 - JD MARILIA/TERM PQ D PEDRO II,327,625,74,12,2,478,16,48,9,1592,714,382,38,2726
310,2015-12-31,CONCESSAO,AREA 3,VIP II,431310 - T CID TIRADENTES/T PQ D PEDRO ,798,2469,329,40,5,1943,121,181,58,5949,4746,1099,200,11994
311,2015-12-31,CONCESSAO,AREA 3,VIP II,431410 - INACIO MONTEIRO/T PQ D PEDRO ,430,786,102,22,0,563,27,38,9,1980,1089,552,49,3670
312,2015-12-31,CONCESSAO,AREA 4,AMBIENTAL,N40211 - METRO ITAQUERA/TERM VL CARRAO,14,34,0,1,0,11,3,3,0,66,43,6,1,116
313,2015-12-31,CONCESSAO,AREA 4,AMBIENTAL,N40511 - TERM V CARRAO/METRO ITAQUERA,11,23,2,0,0,12,3,4,1,57,57,13,1,128
314,2015-12-31,CONCESSAO,AREA 4,AMBIENTAL,200210 - TERM P D PEDRO II/TERM BANDEIR,15,110,26,2,0,40,8,5,4,211,427,137,5,780
315,2015-12-31,CONCESSAO,AREA 4,AMBIENTAL,210010 - TERM V CARRAO/PCA DA SE CIRC,570,862,110,29,3,470,15,48,10,2120,1341,919,85,4465
316,2015-12-31,CONCESSAO,AREA 4,AMBIENTAL,210110 - PCA SILVIO ROMERO/PCA DA SE,34,51,9,0,0,30,0,2,2,128,36,63,4,231
317,2015-12-31,CONCESSAO,AREA 4,AMBIENTAL,229010 - TERM S MATEUS/TERM.PD PEDRO II,1693,1827,168,37,3,1156,54,64,19,5025,2803,1881,145,9854
318,2015-12-31,CONCESSAO,AREA 4,AMBIENTAL,303210 - TERM VILA CARRAO/CIRCULAR,103,200,17,6,2,137,6,1,0,472,238,186,22,918
319,2015-12-31,CONCESSAO,AREA 4,AMBIENTAL,313910 - JD VILA FORMOSA/PCA CLOVIS,78,126,10,9,3,82,0,0,1,310,135,164,11,620
320,2015-12-31,CONCESSAO,AREA 4,AMBIENTAL,316010 - TERM.V.PRUDENTE/ TERM D PEDRO,191,390,32,9,0,224,8,42,4,900,504,332,31,1767
321,2015-12-31,CONCESSAO,AREA 4,AMBIENTAL,341410 - VILA DALILA/TERM P D PEDRO,145,315,52,17,1,237,9,46,11,836,791,260,23,1910
322,2015-12-31,CONCESSAO,AREA 4,AMBIENTAL,342M10 - TERM SAO MATEUS/TERM PENHA,1016,1386,149,30,4,1000,62,0,13,3665,2726,1615,125,8131
323,2015-12-31,CONCESSAO,AREA 4,AMBIENTAL,408A10 - MACHADO DE ASSIS/CARD ALMEIDA ,170,238,24,11,0,207,5,41,1,697,227,217,11,1152
324,2015-12-31,CONCESSAO,AREA 4,AMBIENTAL,411210 - STA MARGARIDA MARIA/PCA REPUBL,1,3,0,0,0,0,0,2,0,6,2,1,1,10
325,2015-12-31,CONCESSAO,AREA 4,AMBIENTAL,411310 - GENTIL DE MOURA/PCA REPUBLICA,865,1173,123,37,2,1047,21,342,20,3631,1379,994,87,6091
326,2015-12-31,CONCESSAO,AREA 4,EXPRESS,N40311 - T CID TIRADENTES/METRO ITAQUER,48,46,5,1,0,55,2,14,5,176,212,47,6,441
327,2015-12-31,CONCESSAO,AREA 4,EXPRESS,N40611 - TERM CID TIRADENTES/T S MATEUS,37,41,2,0,0,34,0,2,1,117,77,12,3,209
328,2015-12-31,CONCESSAO,AREA 4,EXPRESS,N40711 - TERM V CARRAO/METRO BELEM,6,21,1,1,0,21,4,3,0,57,13,6,1,77
329,2015-12-31,CONCESSAO,AREA 4,EXPRESS,N43111 - TER SAO MATEUS/JD DA CONQUISTA,4,14,1,0,0,17,2,0,0,38,2,4,1,45
330,2015-12-31,CONCESSAO,AREA 4,EXPRESS,N43211 - TERM SAO MATEUS/JD STO ANDRE,17,45,6,0,0,57,4,2,2,134,23,11,2,170
331,2015-12-31,CONCESSAO,AREA 4,EXPRESS,N43411 - TERM V CARRAO/JD IV CENTENARIO,1,3,1,0,0,2,1,0,0,8,19,3,0,30
332,2015-12-31,CONCESSAO,AREA 4,EXPRESS,N43511 - T CID TIRANDENTES/METALURGICOS,5,14,1,0,1,14,0,0,1,36,30,8,2,76
333,2015-12-31,CONCESSAO,AREA 4,EXPRESS,N43611 - TE CID TIRADENTES/BARRO BRANCO,0,19,1,0,0,15,1,0,1,37,72,6,4,119
334,2015-12-31,CONCESSAO,AREA 4,EXPRESS,N43711 - EST GUAIANAZES/T CID TIRADENTE,15,18,1,0,0,25,1,5,1,67,18,18,1,104
335,2015-12-31,CONCESSAO,AREA 4,EXPRESS,N43911 - M ITAQUERA/COHAB FAZ DO CARMO,2,14,1,2,0,31,0,14,1,65,61,17,1,144
336,2015-12-31,CONCESSAO,AREA 4,EXPRESS,N44111 - TERM CID TIRANDESTES/VL YOLAND,12,10,2,0,0,14,1,0,0,39,55,6,2,102
337,2015-12-31,CONCESSAO,AREA 4,EXPRESS,312N10 - TERM CID TIRADENTES/SAO MIGUEL,941,1418,90,36,3,1164,84,182,28,3947,1620,1556,119,7242
338,2015-12-31,CONCESSAO,AREA 4,EXPRESS,353910 - CIDADE TIRADENTES/TERM P D PED,320,1028,162,23,5,916,28,68,22,2574,1470,521,66,4631
339,2015-12-31,CONCESSAO,AREA 4,EXPRESS,400310 - PRESTES MAIA/ E. T. ITAQUERA ,63,236,32,2,0,203,13,2,3,554,316,253,17,1140
340,2015-12-31,CONCESSAO,AREA 4,EXPRESS,400410 - T CID TIRADENTES/BARRO BRANCO,124,500,41,3,0,379,14,1,8,1072,784,610,40,2506
341,2015-12-31,CONCESSAO,AREA 4,EXPRESS,400510 - T CID TIRADENTES/BARRO BRANCO,132,635,71,11,1,458,20,1,13,1343,1077,591,48,3059
342,2015-12-31,CONCESSAO,AREA 4,EXPRESS,400610 - JD NOVA VITORIA/CIRCULAR,153,514,34,2,0,295,26,0,9,1035,881,250,60,2226
343,2015-12-31,CONCESSAO,AREA 4,EXPRESS,400710 - COHAB JUSCELINO/TERM V CARRAO,413,844,123,11,2,624,34,2,16,2069,1424,994,91,4578
344,2015-12-31,CONCESSAO,AREA 4,EXPRESS,400810 - JD CIBELE/TERM VILA CARRAO,176,374,33,6,1,320,25,0,5,940,625,393,31,1989
345,2015-12-31,CONCESSAO,AREA 4,EXPRESS,401010 - JD NSA SRA DO CARMO/T V CARRAO,102,198,22,7,1,156,7,17,4,514,219,253,19,1005
346,2015-12-31,CONCESSAO,AREA 4,EXPRESS,401110 - JD LIMOEIRO/TERM SAO MATEUS,651,990,70,12,0,680,47,0,15,2466,1127,764,82,4439
347,2015-12-31,CONCESSAO,AREA 4,EXPRESS,401210 - JD DA CONQUISTA/T SAO MAETEUS,1014,1136,57,12,4,899,39,3,11,3175,869,744,86,4874
348,2015-12-31,CONCESSAO,AREA 4,EXPRESS,401310 - JD SANTO ANDRE/TERM SAO MATEUS,801,932,55,5,0,741,46,0,8,2589,682,577,66,3914
349,2015-12-31,CONCESSAO,AREA 4,EXPRESS,401410 - JD VILA CARRAO/TER VILA CARRAO,187,380,31,9,2,332,31,0,7,979,489,358,37,1863
350,2015-12-31,CONCESSAO,AREA 4,EXPRESS,401510 - T SAO MATEUS/JD RODOLFO PIRANI,222,164,9,3,1,131,4,1,4,539,124,169,16,848
351,2015-12-31,CONCESSAO,AREA 4,EXPRESS,401610 - T SAO MATEUS/JD RODOLFO PIRANI,296,204,15,2,2,145,2,0,3,669,133,157,19,978
352,2015-12-31,CONCESSAO,AREA 4,EXPRESS,401710 - VILA YOLANDA/METALURGICOS,317,938,60,3,2,577,45,0,13,1956,1047,731,80,3814
353,2015-12-31,CONCESSAO,AREA 4,EXPRESS,401810 - METALURGICOS/TERM SAO MATEUS,1026,1781,116,32,1,1189,100,1,39,4286,2429,1388,178,8281
354,2015-12-31,CONCESSAO,AREA 4,EXPRESS,402410 - COHAB FAZE DO CAR/E.T.ITAQUERA,175,528,72,13,0,427,14,57,6,1292,628,626,41,2587
355,2015-12-31,CONCESSAO,AREA 4,EXPRESS,403A10 - EST JOSE BONIFACIO/TERM PENHA,429,583,70,25,3,509,24,20,8,1672,699,774,59,3204
356,2015-12-31,CONCESSAO,AREA 4,EXPRESS,407A10 - SHOP C L ARICANDUVA/METR BELEM,575,603,53,17,1,422,29,12,9,1723,835,595,39,3192
357,2015-12-31,CONCESSAO,AREA 4,EXPRESS,407C10 - INACIO MONTEIRO/METR PATRIARCA,115,292,39,13,3,258,8,22,7,759,380,360,33,1532
358,2015-12-31,CONCESSAO,AREA 4,EXPRESS,407E10 - JD SANTO ANDRE/METRO CARRAO,754,1245,109,19,2,1059,29,746,25,3995,1338,446,102,5881
359,2015-12-31,CONCESSAO,AREA 4,EXPRESS,407G10 - JD NOVA VITORIA/METRO CARRAO,1668,2542,227,61,8,2092,88,788,46,7525,3161,1530,229,12445
360,2015-12-31,CONCESSAO,AREA 4,EXPRESS,407H10 - JD SAO FRANCISCO/METR ITAQUERA,757,1199,91,19,6,1008,55,302,27,3466,1230,874,93,5663
361,2015-12-31,CONCESSAO,AREA 4,EXPRESS,407I10 - COHAB I/METRO BRESSER,185,358,41,14,1,292,13,48,3,958,461,349,23,1791
362,2015-12-31,CONCESSAO,AREA 4,EXPRESS,407J10 - JD SOARES/METRO TATUAPE,804,1094,93,39,4,914,58,224,27,3260,1514,1145,105,6024
363,2015-12-31,CONCESSAO,AREA 4,EXPRESS,407L10 - BARRO BRANCO/M GUILHERMINA ESP,971,1658,162,46,5,1423,64,236,35,4602,2474,1962,153,9191
364,2015-12-31,CONCESSAO,AREA 4,EXPRESS,407N10 - T CID TIRADENTES/METRO PENHA,1061,2273,260,58,7,2184,126,835,74,6885,5081,1550,221,13737
365,2015-12-31,CONCESSAO,AREA 4,EXPRESS,407P10 - TERM CID TIRADENTES/M TATUAPE,398,1195,155,23,4,855,51,86,15,2789,2494,498,83,5864
366,2015-12-31,CONCESSAO,AREA 4,EXPRESS,407R10 - TERM VILA CARRAO/METRO BELEM,252,540,84,24,3,407,8,169,15,1502,906,420,49,2877
367,2015-12-31,CONCESSAO,AREA 4,EXPRESS,407W10 - JD. IV CENTERNARIO/METR CARRAO,148,262,37,8,1,229,10,37,4,736,315,353,27,1431
368,2015-12-31,CONCESSAO,AREA 4,EXPRESS,407Y10 - PQ SAVOY CITY/METRO V PRUDENTE,86,180,19,11,1,135,2,18,1,453,191,222,10,876
369,2015-12-31,CONCESSAO,AREA 4,EXPRESS,507T10 - TERM SAPOPEMBA/METRO CARRAO,803,1220,164,40,3,900,52,464,14,3662,1638,1452,139,6891
370,2015-12-31,CONCESSAO,AREA 5,VIA SUL,N50111 - TERM S MATEUS/T PQ D PEDRO II,41,29,5,0,1,32,1,10,2,121,115,15,0,251
371,2015-12-31,CONCESSAO,AREA 5,VIA SUL,N50211 - TERM SACOMA/TERM PQ D PEDRO II,16,22,1,0,0,12,0,2,3,56,81,13,5,155
372,2015-12-31,CONCESSAO,AREA 5,VIA SUL,N50311 - TER SAO MATEUS/TERM PQ D PEDRO,53,47,9,0,0,52,2,1,0,164,90,21,2,277
373,2015-12-31,CONCESSAO,AREA 5,VIA SUL,N50411 - TERM SACOMA/TERM PQ D PEDRO II,11,20,0,0,0,5,1,0,1,38,17,5,1,61
374,2015-12-31,CONCESSAO,AREA 5,VIA SUL,N50511 - TERM SACOMA/TERM PINHEIROS,13,34,5,1,0,41,5,2,1,102,18,6,1,127
375,2015-12-31,CONCESSAO,AREA 5,VIA SUL,N50611 - TERM SACOMA/METRO VL MADALENA,20,27,3,3,1,26,1,3,0,84,13,7,5,109
376,2015-12-31,CONCESSAO,AREA 5,VIA SUL,N50711 - TERM SACOMA/METRO SANTANA,7,10,2,0,0,14,0,2,0,35,13,4,0,52
377,2015-12-31,CONCESSAO,AREA 5,VIA SUL,N50811 - TERM SACOMA/TERM PQ D PEDRO II,8,13,2,0,0,13,0,0,0,36,14,3,1,54
378,2015-12-31,CONCESSAO,AREA 5,VIA SUL,N53111 - T SAPOPEMBA/TEOTONIO T SACOMA,5,12,0,0,1,7,2,0,0,27,16,1,0,44
379,2015-12-31,CONCESSAO,AREA 5,VIA SUL,N53211 - T SAPOPEMBA/TEOTONIO H S MATEU,1,5,0,0,0,16,0,0,0,22,14,0,0,36
380,2015-12-31,CONCESSAO,AREA 5,VIA SUL,N53311 - TERM SACOMA/JARDIM PLANALTO,12,15,1,0,0,27,0,2,0,57,16,2,0,75
381,2015-12-31,CONCESSAO,AREA 5,VIA SUL,N53511 - TERM SACOMA/JARDIM CELESTE,10,12,1,0,0,16,0,10,3,52,31,11,0,94
382,2015-12-31,CONCESSAO,AREA 5,VIA SUL,N53711 - METRO VL MARIANA/VILA PRUDENTE,1,4,0,0,0,4,0,1,1,11,1,1,0,13
383,2015-12-31,CONCESSAO,AREA 5,VIA SUL,N53811 - TERM SACOMA/JARDIM CELESTE,0,2,0,0,0,0,0,1,0,3,1,2,0,6
384,2015-12-31,CONCESSAO,AREA 5,VIA SUL,TSATER - TERM SACOMAN TERREO,0,6,0,0,0,1,0,0,0,7,6,1,1,15
385,2015-12-31,CONCESSAO,AREA 5,VIA SUL,302110 - PQ BANCARIO/TERM VILA PRUDENTE,78,126,12,4,0,129,11,65,2,427,117,111,11,666
386,2015-12-31,CONCESSAO,AREA 5,VIA SUL,302410 - VLA INDUSTRIAL/TER VL PRUDENTE,175,205,8,6,0,166,2,109,10,681,170,205,16,1072
387,2015-12-31,CONCESSAO,AREA 5,VIA SUL,311C10 - PQUE S LUCAS/BOM RETIRO,739,533,29,15,1,296,7,26,2,1648,536,422,24,2630
388,2015-12-31,CONCESSAO,AREA 5,VIA SUL,314J10 - STA MADALENA/METRO LIBERDADE,449,552,62,24,1,471,10,56,6,1631,659,679,53,3022
389,2015-12-31,CONCESSAO,AREA 5,VIA SUL,314V10 - VILA EMA/METRO LIBERDADE,201,235,38,13,2,216,3,41,4,753,238,254,20,1265
390,2015-12-31,CONCESSAO,AREA 5,VIA SUL,314110 - TERM SAO MATEUS/TERM P D PEDRO,936,1098,104,18,2,685,32,28,12,2915,1560,1021,73,5569
391,2015-12-31,CONCESSAO,AREA 5,VIA SUL,339010 - TERM S MATEUS/TERM P D PEDRO,597,855,70,10,2,671,59,37,35,2336,1363,678,47,4424
392,2015-12-31,CONCESSAO,AREA 5,VIA SUL,373M10 - JD GUAIRACA/SHOP METR TATUAPE,105,179,16,4,0,148,0,34,3,491,197,170,12,870
393,2015-12-31,CONCESSAO,AREA 5,VIA SUL,374610 - JD IMPERADOR/METRO BELEM,339,505,50,18,5,341,16,116,8,1399,579,486,41,2505
394,2015-12-31,CONCESSAO,AREA 5,VIA SUL,375V10 - CENT PLZ SHOP/MET ST CRUZ CIRC,35,57,2,1,1,110,4,27,1,238,94,68,3,403
395,2015-12-31,CONCESSAO,AREA 5,VIA SUL,407M10 - VILA MONUMENTO/VILA MADALENA,43,86,10,3,0,90,4,42,1,279,127,53,8,467
396,2015-12-31,CONCESSAO,AREA 5,VIA SUL,411110 - VILA MONUMENTO/PÇA REPUBLICA,113,133,13,5,0,118,0,43,2,427,209,128,17,781
397,2015-12-31,CONCESSAO,AREA 5,VIA SUL,411410 - VILA GUMERCINDO/TER PQ D PEDRO,47,84,17,5,1,58,2,26,0,240,112,67,8,427
398,2015-12-31,CONCESSAO,AREA 5,VIA SUL,411431 - VI GUMERCINDO/T PQ D PEDRO II,0,10,1,0,0,4,0,1,0,16,10,8,0,34
399,2015-12-31,CONCESSAO,AREA 5,VIA SUL,411510 - SHOP PLAZA SUL/PÇ REPUBLICA,208,236,37,14,0,266,9,37,6,813,333,191,15,1352
400,2015-12-31,CONCESSAO,AREA 5,VIA SUL,422110 - JD PLANALTO/TERM P D PEDRO,300,360,28,12,2,295,19,12,17,1047,503,434,30,2014
401,2015-12-31,CONCESSAO,AREA 5,VIA SUL,422210 - PQ STA MADALENA/PÇA J MENDES,128,186,20,2,0,200,9,16,4,565,292,293,26,1176
402,2015-12-31,CONCESSAO,AREA 5,VIA SUL,425E10 - JD. ESTER/TERM. SAPOPEMBA,83,103,19,1,0,91,13,0,4,314,276,126,16,732
403,2015-12-31,CONCESSAO,AREA 5,VIA SUL,428410 - V CALIFORNIA/T PQ D PEDRO II,108,121,14,2,0,131,1,5,2,384,148,148,12,692
404,2015-12-31,CONCESSAO,AREA 5,VIA SUL,428610 - VILA INDUSTRIAL/PÇA DO CORREIO,96,116,12,2,0,80,0,5,1,313,91,120,6,530
405,2015-12-31,CONCESSAO,AREA 5,VIA SUL,428810 - VILA INDUSTRIAL/T P D PEDRO II,296,425,30,7,3,323,14,15,13,1128,496,443,39,2106
406,2015-12-31,CONCESSAO,AREA 5,VIA SUL,449110 - ZOOLOGICO/TERM P D PEDRO,394,614,50,9,2,629,10,77,13,1798,1045,553,42,3438
407,2015-12-31,CONCESSAO,AREA 5,VIA SUL,470610 - J MARIA ESTELA II/MT V MARIANA,261,398,42,26,3,438,5,98,12,1283,446,373,52,2154
408,2015-12-31,CONCESSAO,AREA 5,VIA SUL,470810 - JD CLIMAX/METRO VILA MARIANA,224,323,24,22,0,312,8,90,7,1010,392,243,37,1682
409,2015-12-31,CONCESSAO,AREA 5,VIA SUL,470910 - PQ BRISTOL/METRO V MARIANA,390,651,52,22,1,586,23,60,12,1798,612,471,71,2952
410,2015-12-31,CONCESSAO,AREA 5,VIA SUL,471710 - JD MARIA ESTELA/METRO STA CRUZ,45,131,7,3,0,102,7,9,0,304,71,81,9,465
411,2015-12-31,CONCESSAO,AREA 5,VIA SUL,471810 - JD CELESTE/METRO STA CRUZ,106,115,10,10,2,138,5,8,3,397,140,153,10,700
412,2015-12-31,CONCESSAO,AREA 5,VIA SUL,472110 - SHOP PLAZA SUL/METRO JABAQUARA,105,184,38,5,0,156,12,17,7,524,495,129,24,1172
413,2015-12-31,CONCESSAO,AREA 5,VIA SUL,472510 - VILA BRASILINA/SH C IBIRAPUERA,104,169,17,9,0,150,8,22,0,479,199,140,18,836
414,2015-12-31,CONCESSAO,AREA 5,VIA SUL,472710 - JD CLIMAX/METRO PÇ ARVORE,285,372,37,19,5,335,13,83,3,1153,462,387,39,2041
415,2015-12-31,CONCESSAO,AREA 5,VIA SUL,473210 - VILA LIVIERO/METRO SAUDE,351,511,58,20,0,439,15,230,14,1639,682,410,71,2802
416,2015-12-31,CONCESSAO,AREA 5,VIA SUL,473231 - VILA LIVIERO/METRO SAUDE,729,841,83,26,1,762,32,258,15,2747,1059,670,114,4590
417,2015-12-31,CONCESSAO,AREA 5,VIA SUL,474210 - JD CLIMAX/METRO SAO JUDAS,384,489,54,22,0,500,10,188,16,1663,593,265,53,2574
418,2015-12-31,CONCESSAO,AREA 5,VIA SUL,475M10 - JD DA SAUDE/T AMARAL GURGEL,87,136,16,3,1,93,2,25,1,364,130,137,9,640
419,2015-12-31,CONCESSAO,AREA 5,VIA SUL,475R10 - JD SAO SAVERIO/TERM P D PEDRO,448,887,81,22,2,854,30,148,11,2483,884,499,85,3951
420,2015-12-31,CONCESSAO,AREA 5,VIA SUL,476A10 - IPIRANGA/TERM STO AMARO,264,495,68,17,4,477,30,53,16,1424,837,344,45,2650
421,2015-12-31,CONCESSAO,AREA 5,VIA SUL,477A10 - SACOMA/CEASA,859,1123,110,46,1,1011,44,279,24,3499,1600,671,78,5848
422,2015-12-31,CONCESSAO,AREA 5,VIA SUL,477P10 - IPIRANGA/RIO PEQUENO,585,829,73,24,2,793,34,161,17,2518,1097,516,68,4199
423,2015-12-31,CONCESSAO,AREA 5,VIA SUL,477U10 - HELIOPOLIS/SHOP IGUATEMI CIRC,73,123,11,3,0,117,0,24,2,353,101,97,14,565
424,2015-12-31,CONCESSAO,AREA 5,VIA SUL,478P10 - SACOMA/POMPEIA,274,364,56,22,1,288,4,106,10,1125,435,252,23,1835
425,2015-12-31,CONCESSAO,AREA 5,VIA SUL,502110 - AGUA FUNDA/TERM SACOMA,204,254,19,13,1,241,20,65,6,823,490,249,40,1602
426,2015-12-31,CONCESSAO,AREA 5,VIA SUL,502610 - CJ.TEOT.VILELA/JD.SAO ROBERTO,68,226,30,7,0,220,10,0,3,564,231,210,12,1017
427,2015-12-31,CONCESSAO,AREA 5,VIA SUL,502810 - CJ HAB HELIOP/MUSEU IPIRANGA,97,115,1,3,0,98,0,17,4,335,73,121,18,547
428,2015-12-31,CONCESSAO,AREA 5,VIA SUL,502910 - JD PATENTE/TERM SACOMA,299,655,46,22,1,465,14,143,10,1655,480,427,46,2608
429,2015-12-31,CONCESSAO,AREA 5,VIA SUL,503010 - JD MARIA ESTELA/TERM SACOMA,158,260,11,15,0,219,12,66,5,746,298,163,18,1225
430,2015-12-31,CONCESSAO,AREA 5,VIA SUL,503310 - VILA BRASILINA/TERM SACOMA,117,180,13,9,1,161,5,71,6,563,296,132,22,1013
431,2015-12-31,CONCESSAO,AREA 5,VIA SUL,503410 - VILA LIVIERO/TERM SACOMA,348,674,43,18,3,464,11,156,12,1729,544,238,48,2559
432,2015-12-31,CONCESSAO,AREA 5,VIA SUL,503431 - TERM SACOMA/VILA LIVIERO,239,456,34,14,1,307,12,121,5,1189,457,188,49,1883
433,2015-12-31,CONCESSAO,AREA 5,VIA SUL,503610 - JD CELESTE/TERM SACOMA,173,302,33,7,1,234,11,40,6,807,331,205,42,1385
434,2015-12-31,CONCESSAO,AREA 5,VIA SUL,503810 - PQ. BRISTOL/TERM SACOMA,659,1036,95,34,2,823,31,175,28,2883,1215,509,141,4748
435,2015-12-31,CONCESSAO,AREA 5,VIA SUL,510310 - TERM. SACOMA/MOEMA,244,571,91,19,0,531,38,91,14,1599,1416,489,38,3542
436,2015-12-31,CONCESSAO,AREA 5,VIA SUL,510410 - TERM SACOMA/PCA DA REPUBLICA,184,216,20,11,1,195,10,25,9,671,317,218,30,1236
437,2015-12-31,CONCESSAO,AREA 5,VIA SUL,510510 - TERM. SACOMA/TERM.MERCADO,279,889,96,10,6,299,25,154,22,1782,3105,562,96,5545
438,2015-12-31,CONCESSAO,AREA 5,VIA SUL,510511 - EXP TIRADENTES - RUA DO GRITO,120,626,14,4,0,271,8,8,11,1062,210,131,18,1421
439,2015-12-31,CONCESSAO,AREA 5,VIA SUL,510512 - EXP TIRADENTES - C A YPIRANGA,92,508,24,7,1,248,17,2,15,914,159,91,17,1181
440,2015-12-31,CONCESSAO,AREA 5,VIA SUL,510513 - EXP TIRADENTES - ANA NERI,60,663,30,9,3,369,9,3,4,1150,129,98,10,1387
441,2015-12-31,CONCESSAO,AREA 5,VIA SUL,510514 - EXP TIRADENTES -METRO PEDRO II,365,331,62,18,1,148,9,1444,61,2443,1252,408,70,4173
442,2015-12-31,CONCESSAO,AREA 5,VIA SUL,510515 - EXP TIRADENTES - MERCADO,335,1082,126,16,5,435,18,94,22,2134,2928,440,83,5585
443,2015-12-31,CONCESSAO,AREA 5,VIA SUL,510516 - EXP TIRADENTES - GENERAL LECOR,11,219,4,1,0,147,5,2,1,390,38,76,6,510
444,2015-12-31,CONCESSAO,AREA 5,VIA SUL,510517 - EXP TIRADENTES - ALBERTO LION,35,287,10,2,0,340,5,0,8,687,62,41,10,800
445,2015-12-31,CONCESSAO,AREA 5,VIA SUL,510518 - EXP TIRADENTES/T VILA PRUDENTE,42,89,23,1,1,61,3,5,6,232,430,83,12,757
446,2015-12-31,CONCESSAO,AREA 5,VIA SUL,510710 - TERM SACOMA/TERM CORREIO,358,534,33,14,2,453,20,29,18,1461,834,554,42,2891
447,2015-12-31,CONCESSAO,AREA 5,VIA SUL,510810 - JD CELESTE/TERM PQ D PEDRO II,1498,1633,127,38,5,1456,48,137,30,4972,2109,1109,145,8335
448,2015-12-31,CONCESSAO,AREA 5,VIA SUL,511010 - TERM SAO MATEUS/TERM MERCADO,1674,2362,194,47,2,1917,93,573,49,6914,3104,977,187,11182
449,2015-12-31,CONCESSAO,AREA 5,VIA SUL,511041 - SAO MATEUS/METRO TAMANDUATEI,46,103,4,3,0,142,4,26,2,330,137,50,8,525
450,2015-12-31,CONCESSAO,AREA 5,VIA SUL,513L10 - TERM SACOMA/PENHA,151,308,29,9,1,222,18,17,11,767,385,248,25,1425
451,2015-12-31,CONCESSAO,AREA 5,VIA SUL,514110 - TERM. SAPOPEMBA/PCA DO CORREIO,246,369,34,8,1,243,15,9,6,932,447,393,36,1808
452,2015-12-31,CONCESSAO,AREA 5,VIA SUL,514210 - TERM.SAPOPEMBA/T.PQ.D.PEDRO II,806,1379,110,29,2,1267,48,184,24,3849,1701,1049,113,6712
453,2015-12-31,CONCESSAO,AREA 5,VIA SUL,514310 - TERM.SAPOPEMBA/T.D.PEDRO II,114,227,27,5,0,213,9,103,6,704,441,161,28,1334
454,2015-12-31,CONCESSAO,AREA 5,VIA SUL,514410 - TERM.SAPOPEMBA/T.PRINC.ISABEL,683,709,49,10,1,333,5,10,5,1807,737,477,46,3067
455,2015-12-31,CONCESSAO,AREA 5,VIA SUL,514510 - TERM.SAPOPEMBA/PCA.ALMEIDA JR.,336,465,56,15,0,371,21,37,9,1311,550,420,34,2315
456,2015-12-31,CONCESSAO,AREA 5,VIA SUL,519M10 - SAO MATEUS/MUSEU DO IPIRANGA,186,255,17,4,0,215,8,3,5,693,387,251,21,1352
457,2015-12-31,CONCESSAO,AREA 5,VIA SUL,570510 - TERM SACOMA/METRO VERGUEIRO,95,167,24,6,1,147,15,39,2,496,245,88,10,839
458,2015-12-31,CONCESSAO,AREA 5,VIA SUL,574J10 - METRO CONCEICAO/T VILA CARRAO,916,1576,147,52,4,1237,69,130,49,4182,2228,1391,138,7939
459,2015-12-31,CONCESSAO,AREA 5,VIA SUL,575C10 - VILA MATIAS/METRO CONCEICAO,45,71,6,0,0,62,5,9,2,201,63,93,7,364
460,2015-12-31,CONCESSAO,AREA 5,VIA SUL,874T10 - IPIRANGA/LAPA,313,443,57,16,1,497,24,160,13,1525,739,341,26,2631
461,2015-12-31,CONCESSAO,AREA 6,CIDADE DUTRA,N60111 - TERM GRAJAU/TERM PQ D PEDRO II,38,101,13,1,0,103,4,8,3,271,151,35,7,464
